name,space_id,color
U-500 - White Pearl,0,e5dac5
U-501 - Beach Light,0,F8EBC9
U-502 - Dune,0,E6DFCD
U-503 - Cliff,0,E6DAC3
U-504 - Cardamom,0,D5C3A8
U-505 - Eggnog,0,e6c9a5
U-506 - Sweet Mustard,0,e0b37f
U-507 - Turmeric,0,d6a876
U-508 - Ginger,0,bd9971
U-509 - Salt Almond,0,b9997d
U-510 - Tumbleweed,0,b6ab9f
U-511 - Hobbit,0,9b866f
U-512 - Fall,0,8d6f51
U-513 - Marsh,0,5f574a
U-514 - Mould,0,433e38
U-515 - Sommer Sun,0,edcf7a
U-516 - Sweden,0,e5a84b
U-517 - Seaside Yellow,0,E0B35B
U-518 - Empire Yellow,0,D2A35A
U-520 - Fashion White,0,d5d0c6
U-521 - Delicate Rose,0,e3d4c8
U-522 - Light Silk,0,d0bdae
U-523 - Sand,0,ccb4a0
U-524 - Silver Fox,0,CFC6B7
U-525 - Antique Beige,0,d5b398
U-526 - Pottery,0,bb8b66
U-527 - Burned Clay,0,ac7556
U-530 - Tiramisu,0,B5977B
U-531 - Dark Hazel,0,886350
U-532 - Rusty,0,8b5e4e
U-534 - Coffee Bean,0,3d322f
U-535 - Lion,0,d4a679
U-536 - Fire,0,cc8654
U-538 - Copper,0,ab6a4d
U-540 - Powder Snow,0,cfcfca
U-541 - Rain Grey,0,D6D1CB
U-542 - Dust Grey,0,CAC7BC
U-543 - Metal,0,8e8f8e
U-544 - Grey Silver,0,999792
U-545 - Daybreak,0,d9c5bc
U-546 - Spicy,0,cba69e
U-547 - Mushroom,0,b1948e
U-548 - Heather,0,927878
U-549 - Red Marble,0,8f6e69
U-550 - Farmer,0,a5897b
U-551 - Furrow,0,8b7973
U-552 - Acorn,0,785a4d
U-555 - Orient,0,9e6258
U-560 - City White,0,d6d7d3
U-561 - Metropol,0,c4c5c9
U-562 - Sea Fog,0,c3c7c7
U-563 - Crystal Blue,0,bdc9cf
U-564 - Clear Grey,0,C9C6C6
U-565 - Moor Fog,0,bac8c5
U-566 - Jacuzzi,0,98acad
U-567 - Winter Day,0,8f9ea5
U-568 - Atlantic Ocean,0,8aa7b6
U-569 - Blue Beach,0,668190
U-570 - Twilight,0,9ba5b0
U-571 - Titanium,0,91989C
U-572 - Blue Antique,0,4d6274
U-573 - Classic Grey,0,636770
U-574 - Philosopher,0,474a54
U-575 - King Blue,0,296384
U-576 - Navy Blue,0,2c4a5e
U-577 - Synthesis,0,26505d
U-578 - Cyber Space,0,2a394e
U-579 - Deep Sea,0,293640
U-580 - Offwhite,0,faf9f7
U-581 - Eggshell,0,faf7ed
U-582 - Elf Grey,0,c4c0ba
U-583 - Mineral Grey,0,a9a6a0
U-584 - Forest Grey,0,999b99
U-585 - Polar Green,0,c6c5b8
U-586 - Greenland,0,b7beb5
U-587 - Apple,0,b7b293
U-588 - Moor,0,BAB99C
U-589 - Herbarium,0,819389
U-590 - Green Tomato,0,afaf95
U-591 - Herb,0,97a392
U-592 - Olive Green,0,989B85
U-593 - Green Beach,0,637468
U-594 - Forest Floor,0,505754
U-595 - Pistachio Nut,0,b0a87c
